0.84089, 58
0.86825, 57
0.86277, 57
0.85740, 58
0.85199, 57
0.87928, 57
0.87391, 58
0.86851, 56
0.89580, 57
0.89044, 58
0.88504, 57
0.91233, 57
0.90699, 58
0.90159, 57
0.92888, 57
0.92356, 58
0.91815, 57
0.94545, 57
0.94015, 58
0.93474, 57
0.96206, 57
0.95676, 58
0.95134, 57
0.97866, 57
0.97335, 58
0.96794, 57
0.99527, 58
0.98995, 58
0.98453, 57
1.01187, 58
1.00654, 58
1.00112, 56
1.02846, 58
1.02313, 58
1.01772, 57
1.04506, 58
1.03974, 58
1.03433, 57
1.06168, 58
1.05638, 58
1.05097, 57
1.07832, 58
1.07303, 58
1.06760, 57
1.09496, 58
1.08966, 58
1.08423, 57
1.11161, 58
1.10629, 58
1.10086, 56
1.12823, 58
1.12290, 58
1.11747, 56
1.14485, 58
1.13952, 58
1.13409, 56
1.16148, 59
1.15616, 58
1.15074, 57
1.17812, 58
1.17282, 58
1.16740, 57
1.19479, 59
1.18947, 57
1.18404, 57
1.21143, 58
1.20612, 58
1.20067, 57
1.22807, 58
1.22276, 58
1.21730, 56
1.24471, 58
1.23939, 58
1.23393, 56
1.26135, 58
1.25602, 58
1.25058, 56
1.24524, 59
1.27267, 58
1.26722, 56
1.26188, 59
1.28931, 58
1.28387, 57
1.27852, 59
1.30595, 57
1.30050, 57
1.29514, 59
1.32257, 57
1.31711, 57
1.31176, 58
1.33919, 57
1.33373, 57
1.32839, 59
1.35581, 57
1.35035, 57
1.34502, 58
1.37244, 58
1.36698, 57
1.36166, 59
1.38906, 57
1.38360, 57
1.37828, 59
1.40567, 57
1.40022, 57
1.39490, 59
1.42228, 57
1.41683, 57
1.41150, 58
1.43889, 57
1.43344, 57
1.42810, 59
1.45550, 57
1.45005, 57
1.44472, 58
1.47212, 57
1.46665, 57
1.46134, 58
1.48873, 57
1.48328, 58
1.47796, 58
1.50535, 57
1.49989, 57
1.49459, 58
1.52196, 57
1.51652, 57
1.51121, 58
1.53857, 57
1.53312, 57
1.52781, 59
1.55516, 57
1.54973, 57
1.54440, 58
1.57177, 57
1.56634, 58
1.56101, 58
1.58837, 56
1.58294, 58
1.57762, 58
1.60499, 57
1.59955, 58
1.59424, 58
1.62160, 57
1.61616, 58
1.61085, 58
1.63821, 57
1.63278, 58
1.62748, 58
1.62205, 57
1.64938, 58
1.64408, 58
1.63864, 57
1.66600, 58
1.66068, 58
1.65525, 56
1.68261, 58
1.67729, 58
1.67186, 56
1.69924, 58
1.69391, 58
1.68848, 56
1.71586, 59
1.71053, 58
1.70510, 57
1.73247, 58
1.72715, 58
1.72172, 57
1.74909, 58
1.74377, 57
1.73833, 57
1.76569, 58
1.76038, 58
1.75491, 56
1.78230, 58
1.77698, 58
1.77151, 56
1.79891, 58
1.79358, 58
1.78812, 56
1.81553, 58
1.81019, 58
1.80475, 56
1.83217, 59
1.82682, 58
1.82136, 56
1.84878, 59
1.84342, 57
1.83798, 57
1.86539, 59
1.86004, 57
1.85458, 57
1.88199, 59
1.87663, 57
1.87118, 57
1.89859, 58
1.89325, 57
1.88777, 57
1.91520, 58
1.90984, 57
1.90437, 57
1.93181, 58
1.92646, 58
1.92099, 57
1.94845, 59
1.94307, 57
1.93761, 57
1.96506, 59
1.95969, 57
1.95424, 57
1.98168, 59
1.97630, 57
1.97084, 57
1.99828, 59
1.99289, 57
1.98744, 57
2.01487, 58
2.00949, 57
2.00403, 58
2.03146, 58
2.02608, 57
2.02062, 57
2.01530, 58
2.04269, 57
2.03723, 58
2.03192, 58
